Building Name,Filename,Coordinates,Date,Metadata tags,Notes/Description/Caption,,
,,,,,,,
Academic Building,2984292345_7d77643bee_o.jpg,"30.615908133283238, -96.34076212432655",1913,,Academic Building under construction,,
Academic Building,2965611292_501791049d_o.jpg,"30.615908133283238, -96.34076212432655",ca. 1923,,Academic Building at night with Prexy's Moon,,
Administration,2899648928_ccf81fa408_o.jpg,"30.618725756513324, -96.33645646159434",,,Front view of Admin from distance,,
Administration,2899642214_b896043559_o.jpg,"30.618725756513324, -96.33645646159434",,,Front view of Admin  ,,
Administration,2898798775_ef49e7f251_o.jpg,"30.618725756513324, -96.33645646159434",,,Side view of Admin,,
Administration,2898791873_19f26fafdc_o.jpg,"30.618725756513324, -96.33645646159434",,,Front view of Admin with old cars,,
Administration,2899630068_e2b491a6c9_o.jpg,"30.618725756513324, -96.33645646159434",,,Admin under construction,,
Aggieland Inn,2841091758_919b49bf1a_o.jpg,"30.616552615006437, -96.34442090702312",1930,,Corner view of Aggieland Inn,,*Note: Aggieland Inn 1925-1966; located on north side of campus south of Walton Hall along Houston Street
Aggieland Inn,4666887996_7c66e1e191_o.jpg,"30.616552615006437, -96.34442090702312",1930,,Front view of Aggieland Inn,,*Note: Aggieland Inn 1925-1966; located on north side of campus south of Walton Hall along Houston Street
Aggieland Inn,3886996923_6cc63a2269_o.jpg,"30.616552615006437, -96.34442090702312",1930,,Aggieland Inn with old cars,,*Note: Aggieland Inn 1925-1966; located on north side of campus south of Walton Hall along Houston Street
All Faith's Chapel,2841107862_b5caefdbd2_o.jpg,"30.61550848534145, -96.34367080087095",1957,,Photo of All Faith's Chapel with students,,
All Faith's Chapel,3907329368_b34c281055_o.jpg,"30.61550848534145, -96.34367080087095",1957,,All Faith's Chapel at night,,
All Faith's Chapel,2840273389_6188a82552_o.jpg,"30.61550848534145, -96.34367080087095",1957,,All Faith's Chapel in color,,
Animal Industries,3533228157_8b8b017258_o.jpg,"30.617327105868576, -96.33719726754354",,,Animal Industries from a distance,,
Animal Industries,2840310999_cb274fafe3_o.jpg,"30.617327105868576, -96.33719726754354",,,Animal Industries front view with old cars,,
Animal Industries,2840332487_b06e3c6bb2_o.jpg,"30.617327105868576, -96.33719726754354",,,Animal Industries side view,,
Animal Industries,2841134970_a6208ef284_o.jpg,"30.617327105868576, -96.33719726754354",,,Animal Industries under construction,,
Annex,4174700840_6545718646_o.jpg,"30.616194966502317, -96.33833229327028",,,Annex under construction with stairwell,,
Annex,4174700810_8a94a99002_o.jpg,"30.616194966502317, -96.33833229327028",,, Annex under construction,,
Annex,4174700916_48e33fc68f_o.jpg,"30.616194966502317, -96.33833229327028",,,Annex Catwalk,,
Assembly Hall,2840344949_855b45753d_o.jpg,"30.61529653129861, -96.3435467907112",,,Front view of Assembly Hall,, 
Assembly Hall,2841179704_e288c05e8b_o.jpg,"30.61529653129861, -96.3435467907112",,,Assembly Hall with snow,,
Assembly Hall,2841179288_ba422bed3d_o.jpg,"30.61529653129861, -96.3435467907112",,,Assemblly Hall,,
Austin Hall,2822920424_9f00d476fa_o.jpg,"30.616605164310066, -96.34174563585798",,,Austin Hall with water tower,,*Note: 1888-1955
Austin Hall,2822913804_32af8e10fd_o.jpg,"30.616605164310066, -96.34174563585798",,,Austin Hall front view,,*Note: 1888-1955
Austin Hall,2822917060_1c8b0ea45f_o.jpg,"30.616605164310066, -96.34174563585798",,,Austin Hall with students hanging from the wall,,*Note: 1888-1955
Austin Hall,2822079521_d205e1dda4_o.jpg,"30.616605164310066, -96.34174563585798",1895,,Austin Hall with students lined up,,*Note: 1888-1955
Bagley Hall,2841198212_14aa446b05_o.jpg,"30.616646614636597, -96.34090143877452",1925,,Bagley Hall with water tower,,*Note: Bagley Hall 1904-1972; built where Harrington Education Tower now stands
Bagley Hall,2841197736_eef97de254_o.jpg,"30.616646614636597, -96.34090143877452",1905,,Bagley Hall from sky,,*Note: Bagley Hall 1904-1972; built where Harrington Education Tower now stands
Bagley Hall,2840360213_3442653acc_o.jpg,"30.616646614636597, -96.34090143877452",1904,,Bagley Hall front view,,*Note: Bagley Hall 1904-1972; built where Harrington Education Tower now stands
Bagley Hall,4793683467_7728ed65dd_o.jpg,"30.616646614636597, -96.34090143877452",1904,,Textile Building,,
Bell Building,4052662315_c0d34defdf_o.jpg,"30.615802197402747, -96.34755621873339",,,Bell Building unfinished,,
Bell Building,4052662343_606c4bfa4b_o.jpg,"30.615802197402747, -96.34755621873339",,,Bell Building  ,,
Bell Tower,3228488007_7bb96fb679_o.jpg,"30.613181670477225, -96.34473295563066",1987,,Photo of Bell Tower with sky,,
Bell Tower,3228482337_ff3363a233_o.jpg,"30.613181670477225, -96.34473295563066",1984,,photo of Bell Tower with Academic Building and student biking,,
Bell Tower,3229337138_12861d2009_o.jpg,"30.613181670477225, -96.34473295563066",1984,,Bell Tower under construction,,
Bell Tower,3228480879_b8e271c3d2_o.jpg,"30.613181670477225, -96.34473295563066",1984,,Bell Tower in color,,
Bizzell,2846446212_ea446c2be4_o.jpg,"30.614170276709736, -96.34130296084979",,,Front view of Bizzell with students,,*Note: 1918-2017
Bizzell,2845612265_9bbbeacecf_o.jpg,"30.614170276709736, -96.34130296084979",,,Front view of Bizzell ,,*Note: 1918-2017
Bolton Hall,2846904190_ecdd25b8d3_o.jpg,"30.616335623314793, -96.34164684735612",,,Front view of Bolton with students,,
Bolton Hall,2846893424_6544eb758a_o.jpg,"30.616335623314793, -96.34164684735612",,,Front view of Bolton with labels,,
Cain Hall,4052787911_f42fd48707_o.jpg,"30.61138006352002, -96.34239950302734",,,Cain Hall ,,*Note: 1974-2016
Cain Hall,4053529276_f54fc46e8f_o.jpg,"30.61138006352002, -96.34239950302734",,,Cain Hall sign,,*Note: 1974-2016
Cain Pool,2846140605_592628f8e7_o.jpg,"30.610256560253482, -96.3428180469205",1974,,Students jumping into Cain Pool,,*Note: Cain Pool 1962-1997
