Filename,Building Name,Alternative Name,Built,Razed,Coordinates,Photograph Date,Building Facts,Photo Description,Metadata tags,Caption,Sources,Parent Work,our notes: https://newspaper.library.tamu.edu/lccn/sn86088544/1931-11-25/ed-1/seq-1/#words=Veterinary+Hospital,"Legend: Red=Cut?, Orange=Needs better scan, Yellow=Needs more information",Ark,Originating Image,Mark Note
Academic Building 37.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",1939-1940,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",This is photograph of the Academic Building while it was snowing. There are students presumably going to class. This photograph is dated circa 1939-1940. ,,Academic Building in snow with students,1914-Present,,,,https://n2t.net/ark:/81423/d2c89k,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL3Nlc3F1aWNlbnRlbm5pYWxfb2JqZWN0cy81MC9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDM3LnRpZg==/full/full/0/default.jpg,
Academic Building 39.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",1927-1930,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",This is a photograph of the Academic building while snowing. This photograph was taken circa 1927-1930.,,Academic Building in snow,1914-Present,,,,https://n2t.net/ark:/81423/d27g81,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8yNi9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDM5LnRpZg==/full/full/0/default.jpg,
Academic Building 69.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",1973,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",This is a photograph of the Academic Building during snow. There are students presumably going to class. This photograph was dated 1973.,,Academic Building with students and snow,1914-Present,,,,https://n2t.net/ark:/81423/d23s4c,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy81L3BhZ2VzL3BhZ2VfMC9maWxlcy9BY2FkZW1pYyUyMEJ1aWxkaW5nJTIwNjkudGlm/full/full/0/default.jpg,
Academic Building 70.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",1970s,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.","This is a photograph of the interior of the Academic Building, with Halloween decorations. This photograph was taken circa 1970s.",,Academic Building with Halloween decorations,1914-Present,,,,https://n2t.net/ark:/81423/d20034,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy82L3BhZ2VzL3BhZ2VfMC9maWxlcy9BY2FkZW1pYyUyMEJ1aWxkaW5nJTIwNzAudGlm/full/full/0/default.jpg,
3423991149_f2d8d808f2_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",circa 1985,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,,,https://n2t.net/ark:/81423/d2v89x,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy83L3BhZ2VzL3BhZ2VfMC9maWxlcy8zNDIzOTkxMTQ5X2YyZDhkODA4ZjJfby5qcGc=/full/full/0/default.jpg,
3533228047_d4c694213b_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,This is Academic 20,,https://n2t.net/ark:/81423/d2qk6n,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy84L3BhZ2VzL3BhZ2VfMC9maWxlcy8zNTMzMjI4MDQ3X2Q0YzY5NDIxM2Jfby5qcGc=/full/full/0/default.jpg,
3533228423_89fca88af1_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",circa 1926,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,,,https://n2t.net/ark:/81423/d2ks4q,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy85L3BhZ2VzL3BhZ2VfMC9maWxlcy8zNTMzMjI4NDIzXzg5ZmNhODhhZjFfby5qcGc=/full/full/0/default.jpg,
3533241671_7391858646_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,Similar to Academic 105,,https://n2t.net/ark:/81423/d2g31r,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8xMC9wYWdlcy9wYWdlXzAvZmlsZXMvMzUzMzI0MTY3MV83MzkxODU4NjQ2X28uanBn/full/full/0/default.jpg,
3534042282_2ded0cfb69_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",circa 1930,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,,,https://n2t.net/ark:/81423/d2b898,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8xMS9wYWdlcy9wYWdlXzAvZmlsZXMvMzUzNDA0MjI4Ml8yZGVkMGNmYjY5X28uanBn/full/full/0/default.jpg,
3672397570_eaf6e6c155_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",circa 1950,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,,,https://n2t.net/ark:/81423/d26k7c,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8yL3BhZ2VzL3BhZ2VfMC9maWxlcy8zNjcyMzk3NTcwX2VhZjZlNmMxNTVfby5qcGc=/full/full/0/default.jpg,
